Item,Precio,URL
Desinfectante de Ambientes y Elimina Olores LYSOFORM Lavanda en Aeroso...,$ 252,"https://www.tiendainglesa.com.uy/supermercado/desinfectante-de-ambientes-y-elimina-olores-lysoform-lavanda-en-aerosol-360-ml.producto?19541,,42"
Limpiador Líquido Multiusos FABULOSO Alternativa al Cloro 1 L,$ 114,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiusos-fabuloso-alternativa-al-cloro-1-l.producto?385020,,42"
Servilleta de Mesa NOVA Blanca 200 x 160 Unidades,$ 239,"https://www.tiendainglesa.com.uy/supermercado/servilleta-de-mesa-nova-blanca-200-x-160-unidades.producto?331553,,42"
Suavizante DOWNY Concentrado Aroma Floral 800 ml,$ 197,"https://www.tiendainglesa.com.uy/supermercado/suavizante-downy-concentrado-aroma-floral-800-ml.producto?100581,,42"
Suavizante COMFORT Concentrado Expert Care Hydra Sérum 1 L,$ 351,"https://www.tiendainglesa.com.uy/supermercado/suavizante-comfort-concentrado-expert-care-hydra-serum-1-l.producto?1006564,,42"
Bloque para Mochila de Inodoro PATO PURIFIC Pack x2 40 gr,$ 310,"https://www.tiendainglesa.com.uy/supermercado/bloque-para-mochila-de-inodoro-pato-purific-pack-x2-40-gr.producto?345938,,42"
Detergente NEVEX Limón 1.25 L,$ 131,"https://www.tiendainglesa.com.uy/supermercado/detergente-nevex-limon-1.25-l.producto?5151,,42"
Papel Higiénico ELITE Ultra Hoja Doble 16 Rollos x 30 mts,$ 530,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-ultra-hoja-doble-16-rollos-x-30-mts.producto?1007068,,42"
Paño Absorbente CIF Ballerina Multiuso 1 Unidad 40 cm x 38 cm,$ 72,"https://www.tiendainglesa.com.uy/supermercado/pano-absorbente-cif-ballerina-multiuso-1-unidad-40-cm-x-38-cm.producto?2704,,42"
Detergente CIF BioActive Limón 500 ml,$ 146,"https://www.tiendainglesa.com.uy/supermercado/detergente-cif-bioactive-limon-500-ml.producto?265814,,42"
Lustramuebles BLEM Hidrata y Renueva Madera con Aceite de Argán en Aer...,$ 352,"https://www.tiendainglesa.com.uy/supermercado/lustramuebles-blem-hidrata-y-renueva-madera-con-aceite-de-argan-en-aerosol-360-cc.producto?403252,,42"
Insecticida RAID Mata Moscas y Mosquitos en Aerosol 360 cc,$ 248,"https://www.tiendainglesa.com.uy/supermercado/insecticida-raid-mata-moscas-y-mosquitos-en-aerosol-360-cc.producto?368849,,42"
